ITW,2024-02-27 15:35:39.236614,77726843000,26.73,9.73,0.969
ILMN,2024-02-27 15:35:39.680377,21764532000,None,-7.34,-0.188
INCY,2024-02-27 15:35:40.123833,13604030000,22.86,2.65,0.125
IR,2024-02-27 15:35:40.532906,36515004000,47.65,1.9,0.0822
INTC,2024-02-27 15:35:40.928156,181761720000,107.47,0.4,0.0157
ICE,2024-02-27 15:35:41.355858,79238603000,33.03,4.19,0.1
IFF,2024-02-27 15:35:41.757836,19761150000,None,-10.05,-0.158
IP,2024-02-27 15:35:42.151737,11706764000,39.3,0.86,0.0358
IPG,2024-02-27 15:35:42.561435,12225242000,11.33,2.85,0.288
INTU,2024-02-27 15:35:42.954728,185861276000,68.02,9.76,0.169
ISRG,2024-02-27 15:35:43.368690,137326109000,77.49,5.03,0.148
IVZ,2024-02-27 15:35:43.808731,6890789000,None,-0.73,-0.0103
IPGP,2024-02-27 15:35:44.200865,3927097000,18.4,4.63,0.0912
IQV,2024-02-27 15:35:44.606513,44917621000,33.95,7.29,0.229
IRM,2024-02-27 15:35:45.022483,22028843000,119.63,0.63,0.334
JBHT,2024-02-27 15:35:45.468382,21993087000,30.57,6.97,0.188
JKHY,2024-02-27 15:35:45.875676,12821071000,34.5,5.1,0.231
J,2024-02-27 15:35:46.274882,18469442000,26.15,5.62,0.106
SJM,2024-02-27 15:35:46.692785,13365652000,12590,0.01,-0.0018
JNJ,2024-02-27 15:35:47.126372,387306127000,30.98,5.19,0.183
JCI,2024-02-27 15:35:47.568840,39826686000,21.72,2.69,0.13
JPM,2024-02-27 15:35:47.966410,528144630000,11.3,16.23,0.16
JNPR,2024-02-27 15:35:48.399844,11968503000,39.14,0.95,0.0692
KSU,2024-02-27 15:35:48.778120,,,,
K,2024-02-27 15:35:49.207282,19227867000,25.08,2.25,0.203
KEY,2024-02-27 15:35:49.611830,12774959000,15.55,0.88,0.0686
KEYS,2024-02-27 15:35:49.989149,26214322000,27.59,5.44,0.21
KMB,2024-02-27 15:35:50.415662,40840327000,23.27,5.21,1.996
KIM,2024-02-27 15:35:50.796689,12973590000,18.9,1.02,0.0684
KMI,2024-02-27 15:35:51.198535,38017806000,16.16,1.06,0.0779
KLAC,2024-02-27 15:35:51.584163,92475711000,34.61,19.76,0.959
KHC,2024-02-27 15:35:52.769086,43683729000,15.59,2.31,0.0577
KR,2024-02-27 15:35:53.217680,34683380000,18.76,2.57,0.178
LHX,2024-02-27 15:35:53.635308,40768659000,33.35,6.43,0.064
LH,2024-02-27 15:35:54.040799,18067866000,49.62,4.34,0.0423
LRCX,2024-02-27 15:35:54.445515,121729139000,35.84,25.91,0.418
LW,2024-02-27 15:35:54.845131,14747600000,13.25,7.71,1.003
LVS,2024-02-27 15:35:55.262051,40642781000,33.71,1.6,0.369
LEG,2024-02-27 15:35:55.699641,2714690000,None,-1,-0.092
LDOS,2024-02-27 15:35:56.068977,17116301000,87.54,1.44,0.0483
LEN,2024-02-27 15:35:56.470519,42932916000,11.23,13.73,0.155
LNC,2024-02-27 15:35:56.865209,4564096000,None,-4.92,-0.131
LIN,2024-02-27 15:35:57.297689,215746953000,35.34,12.59,0.154
LYV,2024-02-27 15:35:57.730961,21999665000,69.58,1.37,0.654
LKQ,2024-02-27 15:35:58.141209,13980871000,14.9,3.52,0.162
LMT,2024-02-27 15:35:58.553792,103708344000,15.58,27.55,0.86
L,2024-02-27 15:35:58.965167,16562862000,11.85,6.29,0.0974
LOW,2024-02-27 15:35:59.389395,133035147000,17.73,13.05,0
LUMN,2024-02-27 15:35:59.779436,1494445000,None,-10.48,-1.909
LYB,2024-02-27 15:36:00.235030,32069364000,15.25,6.48,0.164
MTB,2024-02-27 15:36:00.639332,23010775000,8.75,15.78,0.105
MRO,2024-02-27 15:36:01.044833,14133714000,9.43,2.56,0.138
MPC,2024-02-27 15:36:01.438064,62390718000,7.17,23.63,0.329
MKTX,2024-02-27 15:36:01.832065,8146629000,31.33,6.86,0.217
MAR,2024-02-27 15:36:02.238984,72799683000,24.7,10.18,0.145
MMC,2024-02-27 15:36:02.640375,100125745000,27.01,7.54,0.329
MLM,2024-02-27 15:36:03.050035,34198542000,28.65,19.31,0.158
MAS,2024-02-27 15:36:05.389641,16550501000,18.73,4.02,0
MA,2024-02-27 15:36:08.808082,442666615000,40.14,11.82,1.674
MTCH,2024-02-27 15:36:12.795015,10098807000,16.2,2.26,0.499
MKC,2024-02-27 15:36:15.557533,18203175000,26.94,2.52,0.139
MCD,2024-02-27 15:36:16.074241,214562832000,25.72,11.55,0
MCK,2024-02-27 15:36:16.496814,67838063000,23.36,22.1,0
MDT,2024-02-27 15:36:16.922657,111251816000,26.56,3.15,0.0817
MRK,2024-02-27 15:36:17.331013,326483149000,920.29,0.14,0.0086
MET,2024-02-27 15:36:17.742816,50126979000,38.3,1.81,0.0531
MTD,2024-02-27 15:36:18.236109,25697974000,33.3,35.93,0.295
MGM,2024-02-27 15:36:18.627182,13904501000,13.35,3.19,0.27
MCHP,2024-02-27 15:36:19.042766,44814373000,19.38,4.28,0.352
MU,2024-02-27 15:36:19.439966,94936261000,None,-6.28,-0.149
MSFT,2024-02-27 15:36:19.849570,3028201505000,36.91,11.04,0.392
MAA,2024-02-27 15:36:20.262886,14831476000,26.27,4.71,0.0911
MRNA,2024-02-27 15:36:20.670921,35922502000,None,-12.33,-0.286
MHK,2024-02-27 15:36:21.079832,7253746000,None,-6.9,-0.0562
TAP,2024-02-27 15:36:21.490905,13338335000,14.36,4.37,0.0726
MDLZ,2024-02-27 15:36:21.909966,98683519000,20.25,3.62,0.18
MPWR,2024-02-27 15:36:22.310495,34815017000,82.66,8.77,0.23
MNST,2024-02-27 15:36:22.732159,57973318000,37.65,1.48,0.213
MCO,2024-02-27 15:36:23.133990,70162825000,44.26,8.71,0.522
MS,2024-02-27 15:36:23.562368,140093587000,16.54,5.18,0.0917
MSI,2024-02-27 15:36:24.028459,54582993000,33.12,9.92,0.394
MSCI,2024-02-27 15:36:24.434101,44918264000,39.52,14.37,0
NDAQ,2024-02-27 15:36:24.855456,32320879000,27.01,2.08,0.124
NTAP,2024-02-27 15:36:25.269569,18013290000,26.98,3.24,0.702
NFLX,2024-02-27 15:36:25.662735,252541420000,48.55,12.02,0.262
NWL,2024-02-27 15:36:26.080330,2966388000,None,-0.94,-0.117
NEM,2024-02-27 15:36:26.482255,34586227000,None,-2.97,-0.102
NWSA,2024-02-27 15:36:26.876112,15216996000,65.9,0.4,0.0295
NWS,2024-02-27 15:36:27.271396,15216991000,68.8,0.4,0.0295
NEE,2024-02-27 15:36:27.668014,113140204000,15.31,3.6,0.116
NLSN,2024-02-27 15:36:28.084747,,,,
NKE,2024-02-27 15:36:28.493532,158390649000,30.48,3.43,0.36
NI,2024-02-27 15:36:28.889051,11689353000,17.65,1.48,0.0748
